citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
Barley yellow dwarf disease in natural populations of dominant tallgrass prairie species in Kansas	46254690	PLANT DISEASE	Garrett, KA	yes	2004	WOS:000229467200005	
In search of biological indicators for soil health and disease suppression	577577	APPLIED SOIL ECOLOGY	van Bruggen, AHC	yes	2000	WOS:000229467200005	
Enigmatic biodiversity correlations: Ant diversity responds to diverse resources	45490822	SCIENCE	Armbrecht, I	yes	2004	WOS:000229467200005	
A CROWN BARRIER RELATED TO CEPHALOSPORIUM STRIPE RESISTANCE IN WHEAT RELATIVES	16162014	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	MATHRE, DE	yes	1990	WOS:000229467200005	
COMMERCIAL CONTROL OF PUCCINIA STRIIFORMIS AND OTHER RUSTS IN SEED CROPS OF POA PRATENSIS BY NICKEL FUNGICIDES	26467534	PHYTOPATHOLOGY	HARDISON, JR	yes	1963	WOS:000229467200005	
NONE	48784167	ANNU REV PHYTOPATHOL	WOLFE MS	no	1985	WOS:000229467200005	
CARBON TRANSFER IN A WINTER-WHEAT (TRITICUM-AESTIVUM) ECOSYSTEM	6328616	BIOLOGY AND FERTILITY OF SOILS	BUYANOVSKY, GA	yes	1987	WOS:000229467200005	
NONE	22030326	MANAGEMENT CARBON SE	HUGGINS DR	no	1997	WOS:000229467200005	
Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease	26248974	ECOLOGY	Mitchell, CE	yes	2002	WOS:000229467200005	
RESOURCE AVAILABILITY AND PLANT ANTIHERBIVORE DEFENSE	732206	SCIENCE	COLEY, PD	yes	1985	WOS:000229467200005	
Perennial wheat germ plasm lines resistant to eyespot, cephalosporium stripe, and wheat streak mosaic	32162296	PLANT DISEASE	Cox, CM	yes	2002	WOS:000229467200005	
GRADIENTS OF TAN SPOT OF WINTER-WHEAT FROM A SMALL-AREA SOURCE OF PYRENOPHORA-TRITICI-REPENTIS	48784021	PLANT DISEASE	SONE, J	yes	1994	WOS:000229467200005	
THE CRP INCREASES SOIL ORGANIC-CARBON	3846572	JOURNAL OF SOIL AND WATER CONSERVATION	GEBHART, DL	yes	1994	WOS:000229467200005	
NONE	288257106	Grassland Dynamics: Long-term Ecological Research in Tallgrass Prairie	Knapp, A.K.	no	1998	WOS:000229467200005	
Plant phenology and soil fertility effects on below-ground carbon allocation for an annual (Bromus madritensis) and a perennial (Bromus erectus) grass species	21859565	SOIL BIOLOGY & BIOCHEMISTRY	Warembourg, FR	yes	2001	WOS:000229467200005	
VEGETATIONAL DIVERSITY AND ARTHROPOD POPULATION RESPONSE	830148	ANNUAL REVIEW OF ENTOMOLOGY	ANDOW, DA	yes	1991	WOS:000229467200005	
Genetic diversity and disease control in rice	7049359	NATURE	Zhu, YY	yes	2000	WOS:000229467200005	
The impact of reduced tillage on soilborne plant pathogens	571914	ANNUAL REVIEW OF PHYTOPATHOLOGY	Bockus, WW	yes	1998	WOS:000229467200005	
NONE	293683150	Biology and control of take-all	Asher, MJC	no	1981	WOS:000229467200005	
NONE	56380210	WHEAT WHEAT IMPROVEM	BOCKUS WW	no	1987	WOS:000229467200005	
Effects of wheat cultivar mixtures on epidemic progression of Septoria tritici blotch and pathogenicity of Mycosphaerella graminicola	31051131	PHYTOPATHOLOGY	Cowger, C	yes	2002	WOS:000229467200005	
The nature and mechanism of suppression	21632733	Biology and control of take-all	Rovira, AD	no	1981	WOS:000229467200005	
Biological diversity in soils of agricultural and natural ecosystems	28384384	NONE	Neher, D. A.	yes	1995	WOS:000229467200005	
Current thinking on the use of diversity to buffer small grains against high epidemic and variable foliar pathogens: Problems and future prospects	48783219	Breeding Strategies for Resistance to the Rusts of Wheat	Browning, J. A.	no	1988	WOS:000229467200005	
Effects of agronomical measures on the microbial diversity of soils as related to the suppression of soil-borne plant pathogens	37003341	BIODEGRADATION	van Elsas, JD	yes	2002	WOS:000229467200005	
Epidemiology in mixed host populations	7049129	PHYTOPATHOLOGY	Garrett, KA	yes	1999	WOS:000229467200005	
Earthworms indirectly reduce the effects of take-all (Gaeumannomyces graminis var. tritici) on soft white spring wheat (Triticum aestivum cv. Fielder)	15395499	SOIL BIOLOGY & BIOCHEMISTRY	Clapperton, MJ	yes	2001	WOS:000229467200005	
SIGNIFICANCE OF ANTIBIOTIC PRODUCTION BY CEPHALOSPORIUM GRAMINEUM TO ITS SAPROPHYTIC SURVIVAL	20812666	CANADIAN JOURNAL OF PLANT SCIENCE	BRUEHL, GW	yes	1969	WOS:000229467200005	
INFLUENCE OF SOIL TREATMENTS ON GROWTH AND YIELD OF WHEAT AND IMPLICATIONS FOR CONTROL OF PYTHIUM ROOT-ROT	7803332	PHYTOPATHOLOGY	COOK, RJ	yes	1987	WOS:000229467200005	
DISEASE SEVERITY AND YIELD OF PURE-LINE WHEAT CULTIVARS AND MIXTURES IN THE PRESENCE OF EYESPOT, YELLOW RUST, AND THEIR COMBINATION	3171176	PLANT PATHOLOGY	MUNDT, CC	yes	1995	WOS:000229467200005	
Soil pathogenic fungi have the potential to affect the co-existence of two tallgrass prairie species	22971920	JOURNAL OF ECOLOGY	Holah, JC	yes	1999	WOS:000229467200005	
Breeding perennial grain crops	26856112	CRITICAL REVIEWS IN PLANT SCIENCES	Cox, TS	yes	2002	WOS:000229467200005	
NONE	48783193	P 1 INT WHEAT GEN S	BROWNING JA	no	1974	WOS:000229467200005	
NONE	320533637	AGR MIMIC NATURAL EC	JACKSON W	no	1999	WOS:000229467200005	
RESPONSE OF ANNUAL AND PERENNIAL TEOSINTES (ZEA) TO 6 MAIZE VIRUSES	12280649	PLANT DISEASE	NAULT, LR	yes	1982	WOS:000229467200005	
Cultivar mixtures for the simultaneous management of multiple diseases: Tan spot and leaf rust of wheat	48783042	PHYTOPATHOLOGY	Cox, CM	yes	2004	WOS:000229467200005	
Pests, pathogens and plant communities: an introduction.	1770309	Pests, pathogens and plant communities.	Harper, J. L.	yes	1990	WOS:000229467200005	
PROBABLE SIGNIFICANCE OF SAPROPHYTIC COLONIZATION OF WHEAT STRAW IN FIELD BY CEPHALOSPORIUM GRAMINEUM	56380256	PHYTOPATHOLOGY	BRUEHL, GW	yes	1968	WOS:000229467200005	
Use of multiline cultivars and cultivar mixtures for disease management	28989582	ANNUAL REVIEW OF PHYTOPATHOLOGY	Mundt, CC	yes	2002	WOS:000229467200005	
Agricultural research - Higher yielding perennials point the way to new crops	3183455	SCIENCE	Moffat, AS	yes	1996	WOS:000229467200005	
Success stories: Breeding for wheat disease resistance in Kansas	18188235	PLANT DISEASE	Bockus, WW	yes	2001	WOS:000229467200005	
NONE	56381190	PLANT SOIL	SARNIGUET A	no	1992	WOS:000229467200005	
NONE	402579915	REACTION SELECTED PR	COX C	no	2004	WOS:000229467200005	
Global environmental impacts of agricultural expansion: The need for sustainable and efficient practices	171138	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Tilman, D	yes	1999	WOS:000229467200005	
Maintenance of diversity within plant communities: Soil pathogens as agents of negative feedback	3493579	ECOLOGY	Mills, KE	yes	1998	WOS:000229467200005	
Agriculture - In search of perennial solutions	7049308	NATURE	Pimm, SL	yes	1997	WOS:000229467200005	
Evolutionary ecology of plant diseases in natural ecosystems	830766	ANNUAL REVIEW OF PHYTOPATHOLOGY	Gilbert, GS	yes	2002	WOS:000229467200005	
EFFECT OF RESIDUE MANAGEMENT METHOD ON INCIDENCE OF CEPHALOSPORIUM STRIPE UNDER CONTINUOUS WINTER-WHEAT PRODUCTION	22752974	PLANT DISEASE	BOCKUS, WW	yes	1983	WOS:000229467200005	
ROOT DEVELOPMENT OF WINTER-WHEAT AS RELATED TO TILLAGE PRACTICE IN WESTERN NEBRASKA	38866848	AGRONOMY JOURNAL	WILHELM, WW	yes	1982	WOS:000229467200005	
Microbial populations responsible for specific soil suppressiveness to plant pathogens	289424	ANNUAL REVIEW OF PHYTOPATHOLOGY	Weller, DM	yes	2002	WOS:000229467200005	
PSEUDOCERCOSPORELLA-HERPOTRICHOIDES, FUSARIUM SPP AND RHIZOCTONIA-CEREALIS STEM ROT IN PURE STANDS AND INTERSPECIFIC MIXTURES OF CEREALS	27730586	CROP PROTECTION	VILICHMELLER, V	yes	1992	WOS:000229467200005	
Effects of planting density and the composition of wheat cultivar mixtures on stripe rust: An analysis taking into account limits to the replication of controls	9165179	PHYTOPATHOLOGY	Garrett, KA	yes	2000	WOS:000229467200005	
NONE	338152532	World Development Report 2008	NONE	no	2008	WOS:000309373900264	
Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability	294267311	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	Glover, Jerry D.	yes	2010	WOS:000309373900264	
NONE	440708190	SCI TECHNOL	GLOVER JD	no	2010	WOS:000309373900264	
NONE	440708212	NEW ROOTS AGR	JACKSON W	no	1980	WOS:000309373900264	
NONE	290447440	Millenium Ecosystem Assessment: Ecosystems and Human Well-Being Biodiversity Synthesis	NONE	no	2005	WOS:000309373900264	
NONE	440708112	New Roots for Agriculture	Jackson, W.	no	1980	WOS:000309373900264	
Prospects for developing perennial-grain crops	67768003	BIOSCIENCE	Cox, Thomas S.	yes	2006	WOS:000309373900264	
Biodiversity conservation and agricultural sustainability: towards a new paradigm of 'ecoagriculture' landscapes	84421447	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Scherr, Sara J.	yes	2008	WOS:000309373900264	
NONE	293905630	World Development Report 2008	NONE	no	2008	WOS:000309373900264	
Forecasting agriculturally driven global environmental change	541028	SCIENCE	Tilman, D	yes	2001	WOS:000309373900264	
Beneficial Biofuels-The Food, Energy, and Environment Trilemma	256102308	SCIENCE	Tilman, David	yes	2009	WOS:000309373900264	
Sparing land for nature: exploring the potential impact of changes in agricultural yield on the area needed for crop production	58825451	GLOBAL CHANGE BIOLOGY	Balmford, A	yes	2005	WOS:000309373900264	
More Productive Than Maize in the Midwest: How Does Miscanthus Do It?	270499323	PLANT PHYSIOLOGY	Dohleman, Frank G.	yes	2009	WOS:000309373900264	
Food Security: The Challenge of Feeding 9 Billion People	289159258	SCIENCE	Godfray, H. Charles J.	yes	2010	WOS:000309373900264	
NONE	440708094	FORGOTTEN POLLINATOR	BUCHMANN SL	no	1996	WOS:000309373900264	
NONE	440708067	NONE	NONE	no	2010	WOS:000309373900264	
COMPOSITION OF DISTICHLIS-PALMERI GRAIN, A SALTGRASS	40526135	JOURNAL OF FOOD SCIENCE	YENSEN, SB	yes	1986	WOS:A1990EQ08500002	
NONE	99876813	GRASSES GROW	LANGER RHM	no	1979	WOS:A1990EQ08500002	
NONE	389855962	COMMUNICATION	SCHULZSCHAEFFER J	no	1990	WOS:A1990EQ08500002	
NONE	99878315	GRASSES AGR	WHYTE RO	no	1959	WOS:A1990EQ08500002	
NONE	389832898	IN PRESS PROGR BREED	ANDERSON B	no	1000	WOS:A1990EQ08500002	
PERFORMANCE OF COOL-SEASON PERENNIAL GRASSES IN PURE STANDS AND IN MIXTURES WITH LEGUMES	15047603	AGRONOMY JOURNAL	BARNETT, FL	yes	1983	WOS:A1990EQ08500002	
EASTERN GAMA GRASS - SEED STRUCTURE AND PROTEIN-QUALITY	99875528	CEREAL CHEMISTRY	BATES, LS	yes	1981	WOS:A1990EQ08500002	
NONE	389859358	SOIL WATER CONSERV N	NONE	no	1989	WOS:A1990EQ08500002	
NONE	99877354	LAND I RES REP	PIPER JK	no	1988	WOS:A1990EQ08500002	
NONE	99878431	DOMESTICATION PLANTS	ZOHARY D	no	1988	WOS:A1990EQ08500002	
Breeding for improvement of quantitative characters in Agropyron intermedium (Host.) Beauv. by the polycross method	99876555	CANADIAN JOUR PLANT SCI	HEINRICHS, D. H.	yes	1962	WOS:A1990EQ08500002	
NONE	26857594	WIDE HYBRIDIZATION P	PETROVA KA	no	1960	WOS:A1990EQ08500002	
NONE	389888970	COMMUNICATION	KNOWLES RP	no	1990	WOS:A1990EQ08500002	
NONE	99875969	SEED PRODUCTION	CHILCOTE DO	no	1980	WOS:A1990EQ08500002	
Ecological suppression of weeds in intercropping systems: a review.	16240715	Weed management in agroecosystems: ecological approaches.	Liebman, M.	yes	1988	WOS:A1990EQ08500002	
RECURRENT MASS SELECTION FOR IMPROVED SEED YIELDS IN INTERMEDIATE WHEATGRASS	26857249	CROP SCIENCE	KNOWLES, RP	yes	1977	WOS:A1990EQ08500002	
Maize. Zea mays.	16096804	Evolution of crop plants.	Goodman, M. M.	yes	1976	WOS:A1990EQ08500002	
NONE	99877408	LAND REP RES S	RINEHART D	no	1986	WOS:A1990EQ08500002	
NONE	353209183	WIDE HYBRIDIZATION P	TSITSIN NV	no	1960	WOS:A1990EQ08500002	
NONE	99877680	SOV GENET	STROEV VS	no	1981	WOS:A1990EQ08500002	
NONE	389936117	COMMUNICATION	DEWEY D	no	1989	WOS:A1990EQ08500002	
Utilization of wild species for crop improvement.	3215788	Advances in Agronomy	Stalker, H. T.	yes	1980	WOS:A1990EQ08500002	
Perennial grasses and their response to a wildfire in south-central Washington.	49607104	Journal of Range Management	Uresk, D. W.	yes	1980	WOS:A1990EQ08500002	
NONE	99878215	EARTH MED EARTH FOOD	WEINER MA	no	1980	WOS:A1990EQ08500002	
NONE	389929364	CROP PHYSL CEREAL BR	KRAMER T	no	1979	WOS:A1990EQ08500002	
INTERMEDIATE WHEATGRASSES OF IRAN	54969213	CROP SCIENCE	DEWEY, DR	yes	1978	WOS:A1990EQ08500002	
NONE	389795024	COMMUNICATION	TOBER D	no	1987	WOS:A1990EQ08500002	
SUPPLY RESPONSE MODEL FOR PERENNIAL CROPS	27211985	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	FRENCH, BC	yes	1971	WOS:A1990EQ08500002	
GENETIC DIVERSITY OF WEEDY RYE POPULATIONS IN CALIFORNIA	29826768	CROP SCIENCE	JAIN, SK	yes	1977	WOS:A1990EQ08500002	
THE THREAT OF SOIL-EROSION TO LONG-TERM CROP PRODUCTION	3730796	SCIENCE	LARSON, WE	yes	1983	WOS:A1990EQ08500002	
NONE	99877484	NEW SCI	SATTAUR O	no	1989	WOS:A1990EQ08500002	
SOME ASPECTS OF HYBRIDIZATION OF TRITICUM WITH AGROPYRON AND SECALE	22740903	ACTA AGRONOMICA ACADEMIAE SCIENTIARUM HUNGARICAE	PRIADCEN.A	yes	1969	WOS:A1990EQ08500002	
NONE	389865439	UNPUB	WAGONER P	no	1984	WOS:A1990EQ08500002	
GRASSES AND THE CULTURE HISTORY OF MAN	56379852	ANNALS OF THE MISSOURI BOTANICAL GARDEN	DEWET, JMJ	yes	1981	WOS:A1990EQ08500002	
NONE	389788104	COMMUNICATION	RECKIN J	no	1985	WOS:A1990EQ08500002	
Breeding crested wheatgrass for seed size and yield	41063690	CROP SCI	SCHAAF, H. M.	yes	1963	WOS:A1990EQ08500002	
NONE	99877784	B LENIN ACAD AGR SCI	TSITSIN NV	no	1936	WOS:A1990EQ08500002	
NONE	27118821	P C BROAD GEN BAS CR	CAUDERON Y	no	1979	WOS:A1990EQ08500002	
NONE	99876617	J SOIL WATER CONSERV	JACKSON W	no	1981	WOS:A1990EQ08500002	
NONE	389882817	COMMUNICATION	JACKSON W	no	1985	WOS:A1990EQ08500002	
NONE	389879073	AGR EXP STN B	THORNBERG A	no	1971	WOS:A1990EQ08500002	
NONE	352105169	SEED PRODUCTION	CANODE CL	no	1980	WOS:A1990EQ08500002	
HERBS IN PASTURES - DEVELOPMENT AND RESEARCH IN BRITAIN, 1850-1984	8293780	BIOLOGICAL AGRICULTURE & HORTICULTURE	FOSTER, L	yes	1988	WOS:A1990EQ08500002	
PHENOLOGY AND REPRODUCTIVE ALLOCATION IN ANDROPOGON-SCOPARIUS (GRAMINEAE) POPULATIONS IN COMMUNITIES OF DIFFERENT SUCCESSIONAL STAGES	10325446	AMERICAN JOURNAL OF BOTANY	ROOS, FH	yes	1977	WOS:A1990EQ08500002	
AERIAL PARTS OF HARD RED SPRING WHEAT .1. DRY-MATTER DISTRIBUTION BY PLANT DEVELOPMENT STAGE	56255576	AGRONOMY JOURNAL	BAUER, A	yes	1987	WOS:A1990EQ08500002	
NONE	99877224	DESERT PLANTS	NAULT LR	no	1981	WOS:A1990EQ08500002	
NONE	99875731	P NO PLAINS GRASS SE	BREYER DJ	no	1988	WOS:A1990EQ08500002	
NONE	99876788	WIDE HYBRIDIZATION P	KRYSHANOVSKII FD	no	1960	WOS:A1990EQ08500002	
NONE	99877592	HDB GENETICS	SEARS ER	no	1975	WOS:A1990EQ08500002	
NONE	99876600	IZVESTIYA       1219	IVASHCHENKO A	no	1978	WOS:A1990EQ08500002	
NONE	99877211	ENDURING SEEDS NATIV	NABHAN GP	no	1989	WOS:A1990EQ08500002	
DISTRIBUTION OF WILD WHEATS AND BARLEY	6122509	SCIENCE	HARLAN, JR	yes	1966	WOS:A1990EQ08500002	
NONE	367029229	THESIS KANSAS STATE	MCKENDRICK JD	no	1971	WOS:A1990EQ08500002	
NONE	26856592	WIDE HYBRIDIZATION P	DERZHAVIN AI	no	1960	WOS:A1990EQ08500002	
NONE	99876915	SUSTAINABLE AGR TEMP	LIEBMAN M	no	1990	WOS:A1990EQ08500002	
NONE	99876472	SEED PRODUCTION	GRIFFITHS DJ	no	1980	WOS:A1990EQ08500002	
Seedset rating as a measure of fertility in grasses	10325486	CROP SCI	TRUPP, C. R.	yes	1965	WOS:A1990EQ08500002	
NONE	99876485	10TH P INT GRASSLD C	GRIFFITHS DJ	no	1966	WOS:A1990EQ08500002	
NONE	99877132	WIDE HYBRIDIZATION P	MENABDE VL	no	1960	WOS:A1990EQ08500002	
Analysis of the breeding potential of wheat-Agropyron and wheat-Elymus derivatives. I. Agronomic and quality characteristics	40672739	Hereditas	Faith, A. M. B.	no	1983	WOS:A1990EQ08500002	
Insect, weed and plant disease management in multiple cropping systems.	8629786	Multiple cropping systems	Altieri, M. A.	yes	1986	WOS:A1990EQ08500002	
NONE	99876680	BREED SEED GROWING	KHIZNJAK VA	no	1937	WOS:A1990EQ08500002	
NONE	363370669	10TH P N AM PRAIR C	DEWALD CL	no	1986	WOS:A1990EQ08500002	
NONE	99877081	CROP SCI	MARSHALL SW	no	1972	WOS:A1990EQ08500002	
NONE	389836618	JAN NAT PLANT MAT C	DICKERSON J	no	1990	WOS:A1990EQ08500002	
NONE	99877097	LAND I RES REP	MARTIN T	no	1984	WOS:A1990EQ08500002	
NONE	99877257	PLANT DIS	NAULT LR	no	1982	WOS:A1990EQ08500002	
NONE	389882740	IN PRESS ADV NEW CRO	WAGONER P	no	1000	WOS:A1990EQ08500002	
NONE	99875821	WIDE HYBRIDIZATION P	BYLOV VN	no	1960	WOS:A1990EQ08500002	
NONE	54801063	WIDE HYBRIDIZATION P	TSITSIN NV	no	1960	WOS:A1990EQ08500002	
Crosses of Zea <IT>diploperennis</IT>with corn	35729811	Maize Genetics Cooperation Newsletter	Camara-Hernandez, J.	no	1981	WOS:A1990EQ08500002	
NONE	389859076	INTERMEDIATE WHEATGR	WAGONER P	no	1989	WOS:A1990EQ08500002	
THE ROLE AND IMPORTANCE OF PATHOGENS IN NATURAL PLANT-COMMUNITIES	1770158	ANNUAL REVIEW OF PHYTOPATHOLOGY	DINOOR, A	yes	1984	WOS:A1990EQ08500002	
COMPARISON OF PROTEIN COMPOSITIONS OF SELECTED CORNS AND THEIR WILD RELATIVES, TEOSINTE AND TRIPSACUM	6327632	JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY	PAULIS, JW	yes	1977	WOS:A1990EQ08500002	
Hybridization of maize, Tripsacum, and Euchlaena	18193276	JOURNAL OF HEREDITY	Mangelsdorf, PC	yes	1931	WOS:A1990EQ08500002	
NONE	99877344	WHEAT INFORM SERV	PIENAAR RD	no	1980	WOS:A1990EQ08500002	
Rye. Secale cereale.	62410338	Evolution of crop plants.	Evans, G. M.	yes	1976	WOS:A1990EQ08500002	
Methods of breeding Agropyron intermedium	99876549	CANADIAN JOUR AGRIC SCI	HEINRICH, D. H.	yes	1953	WOS:A1990EQ08500002	
NONE	99878030	SOCIAL ZERN	VERUSCHKINE SM	no	1935	WOS:A1990EQ08500002	
Ground water research, information, and policy needs: strategies and priorities for extension.	98659885	American Journal of Alternative Agriculture	Francis, C. A.	yes	1987	WOS:A1990EQ08500002	
NONE	389883277	EVALUATION INTERMEDI	SCHAUER A	no	1989	WOS:A1990EQ08500002	
Fertility indices in cross-pollinated grasses	94993299	CANADIAN JOUR PLANT SCI	KNOWLES, R. P.	yes	1962	WOS:A1990EQ08500002	
NONE	26856772	GRASS GRAIN INTERMED	GARDNER JC	no	1989	WOS:A1990EQ08500002	
NONE	99876618	NEW ROOTS AGR	JACKSON W	no	1980	WOS:A1990EQ08500002	
NONE	99876362	HEREDITAS	FAITH AMB	no	1986	WOS:A1990EQ08500002	
NONE	389859031	AGR EXP STN TECH B T	AHRING RM	no	1964	WOS:A1990EQ08500002	
ASSIMILATION + TRANSLOCATION IN PERENNIAL GRASSES	35657437	ANNALS OF BOTANY	WILLIAMS, RD	yes	1964	WOS:A1990EQ08500002	
The carbohydrate metabolism of Stipa pulchra.	59716534	Hilgardia	SAMPSON, A. W.	yes	1930	WOS:A1990EQ08500002	
FERTILITY IMPROVEMENT IN AUTOTETRAPLOID SORGHUM .2. SORGHUM ALMUM DERIVATIVES	22061245	HEREDITY	DOGGETT, H	yes	1964	WOS:A1990EQ08500002	
NONE	99876498	AGR HDB	HANSON AA	no	1972	WOS:A1990EQ08500002	
NONE	99876492	LAND I RES REP	HANDLEY MK	no	1987	WOS:A1990EQ08500002	
NONE	2532395	LAND REPORT RES S	PETERSON R	no	1986	WOS:A1990EQ08500002	
Variation in reed canarygrass, Phalaris arundinacea L. II. Seed shattering	8808861	AGRON JOUR	BALTENSPERGER, A. A.	yes	1959	WOS:A1990EQ08500002	
1 from the wheat x couch grass hybrids. 	99878154	Cytologia	WAKAR, B. A.	yes	1936	WOS:A1990EQ08500002	
Origin of south-west Asiatic cereals: wheats, barley, oats and rye.	4946190	Plant life of south-west Asia.	ZOHARY, D.	yes	1971	WOS:A1990EQ08500002	
CYTOGENETICS OF CHROMOSOME-PAIRING IN WHEAT	35203075	GENETICS	RILEY, R	yes	1974	WOS:A1990EQ08500002	
Intercropping: its importance and research needs. Part 1. Competition and yield advantages	12131269	Field Crops Abstracts	Willey, R.W.	no	1979	WOS:A1990EQ08500002	
PROTEIN-QUALITY OF DISTICHLIS-PALMERI GRAIN, A SALTGRASS	99878427	NUTRITION REPORTS INTERNATIONAL	YENSEN, SB	yes	1987	WOS:A1990EQ08500002	
NONE	389878066	IN PRESS ADV NEW CRO	KULAKOW PA	no	1000	WOS:A1990EQ08500002	
NONE	389882864	B AGR EXP STA S DAK	ROSS JG	no	1962	WOS:A1990EQ08500002	
COMPOSITION OF DISTICHLIS-PALMERI GRAIN, A SALTGRASS	40526135	JOURNAL OF FOOD SCIENCE	YENSEN, SB	yes	1986	WOS:A1990EQ08500002	
NONE	99876813	GRASSES GROW	LANGER RHM	no	1979	WOS:A1990EQ08500002	
NONE	389855962	COMMUNICATION	SCHULZSCHAEFFER J	no	1990	WOS:A1990EQ08500002	
NONE	99878315	GRASSES AGR	WHYTE RO	no	1959	WOS:A1990EQ08500002	
NONE	389832898	IN PRESS PROGR BREED	ANDERSON B	no	1000	WOS:A1990EQ08500002	
PERFORMANCE OF COOL-SEASON PERENNIAL GRASSES IN PURE STANDS AND IN MIXTURES WITH LEGUMES	15047603	AGRONOMY JOURNAL	BARNETT, FL	yes	1983	WOS:A1990EQ08500002	
EASTERN GAMA GRASS - SEED STRUCTURE AND PROTEIN-QUALITY	99875528	CEREAL CHEMISTRY	BATES, LS	yes	1981	WOS:A1990EQ08500002	
NONE	389859358	SOIL WATER CONSERV N	NONE	no	1989	WOS:A1990EQ08500002	
NONE	99877354	LAND I RES REP	PIPER JK	no	1988	WOS:A1990EQ08500002	
NONE	99878431	DOMESTICATION PLANTS	ZOHARY D	no	1988	WOS:A1990EQ08500002	
Breeding for improvement of quantitative characters in Agropyron intermedium (Host.) Beauv. by the polycross method	99876555	CANADIAN JOUR PLANT SCI	HEINRICHS, D. H.	yes	1962	WOS:A1990EQ08500002	
NONE	26857594	WIDE HYBRIDIZATION P	PETROVA KA	no	1960	WOS:A1990EQ08500002	
NONE	389888970	COMMUNICATION	KNOWLES RP	no	1990	WOS:A1990EQ08500002	
NONE	99875969	SEED PRODUCTION	CHILCOTE DO	no	1980	WOS:A1990EQ08500002	
Ecological suppression of weeds in intercropping systems: a review.	16240715	Weed management in agroecosystems: ecological approaches.	Liebman, M.	yes	1988	WOS:A1990EQ08500002	
RECURRENT MASS SELECTION FOR IMPROVED SEED YIELDS IN INTERMEDIATE WHEATGRASS	26857249	CROP SCIENCE	KNOWLES, RP	yes	1977	WOS:A1990EQ08500002	
Maize. Zea mays.	16096804	Evolution of crop plants.	Goodman, M. M.	yes	1976	WOS:A1990EQ08500002	
NONE	99877408	LAND REP RES S	RINEHART D	no	1986	WOS:A1990EQ08500002	
NONE	353209183	WIDE HYBRIDIZATION P	TSITSIN NV	no	1960	WOS:A1990EQ08500002	
NONE	99877680	SOV GENET	STROEV VS	no	1981	WOS:A1990EQ08500002	
NONE	389936117	COMMUNICATION	DEWEY D	no	1989	WOS:A1990EQ08500002	
Utilization of wild species for crop improvement.	3215788	Advances in Agronomy	Stalker, H. T.	yes	1980	WOS:A1990EQ08500002	
Perennial grasses and their response to a wildfire in south-central Washington.	49607104	Journal of Range Management	Uresk, D. W.	yes	1980	WOS:A1990EQ08500002	
NONE	99878215	EARTH MED EARTH FOOD	WEINER MA	no	1980	WOS:A1990EQ08500002	
NONE	389929364	CROP PHYSL CEREAL BR	KRAMER T	no	1979	WOS:A1990EQ08500002	
INTERMEDIATE WHEATGRASSES OF IRAN	54969213	CROP SCIENCE	DEWEY, DR	yes	1978	WOS:A1990EQ08500002	
NONE	389795024	COMMUNICATION	TOBER D	no	1987	WOS:A1990EQ08500002	
SUPPLY RESPONSE MODEL FOR PERENNIAL CROPS	27211985	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	FRENCH, BC	yes	1971	WOS:A1990EQ08500002	
GENETIC DIVERSITY OF WEEDY RYE POPULATIONS IN CALIFORNIA	29826768	CROP SCIENCE	JAIN, SK	yes	1977	WOS:A1990EQ08500002	
THE THREAT OF SOIL-EROSION TO LONG-TERM CROP PRODUCTION	3730796	SCIENCE	LARSON, WE	yes	1983	WOS:A1990EQ08500002	
NONE	99877484	NEW SCI	SATTAUR O	no	1989	WOS:A1990EQ08500002	
SOME ASPECTS OF HYBRIDIZATION OF TRITICUM WITH AGROPYRON AND SECALE	22740903	ACTA AGRONOMICA ACADEMIAE SCIENTIARUM HUNGARICAE	PRIADCEN.A	yes	1969	WOS:A1990EQ08500002	
NONE	389865439	UNPUB	WAGONER P	no	1984	WOS:A1990EQ08500002	
GRASSES AND THE CULTURE HISTORY OF MAN	56379852	ANNALS OF THE MISSOURI BOTANICAL GARDEN	DEWET, JMJ	yes	1981	WOS:A1990EQ08500002	
NONE	389788104	COMMUNICATION	RECKIN J	no	1985	WOS:A1990EQ08500002	
Breeding crested wheatgrass for seed size and yield	41063690	CROP SCI	SCHAAF, H. M.	yes	1963	WOS:A1990EQ08500002	
NONE	99877784	B LENIN ACAD AGR SCI	TSITSIN NV	no	1936	WOS:A1990EQ08500002	
NONE	27118821	P C BROAD GEN BAS CR	CAUDERON Y	no	1979	WOS:A1990EQ08500002	
NONE	99876617	J SOIL WATER CONSERV	JACKSON W	no	1981	WOS:A1990EQ08500002	
NONE	389882817	COMMUNICATION	JACKSON W	no	1985	WOS:A1990EQ08500002	
