citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
Development of high yielding varieties of pulses: perspective, possibilities and experimental approaches	18402344	NONE	Jain, HK	no	1975	WOS:000168678400004	
GRAIN-YIELD, HARVEST INDEX, AND WATER-USE OF WHEAT	5360282	JOURNAL OF THE AUSTRALIAN INSTITUTE OF AGRICULTURAL SCIENCE	PASSIOURA, JB	yes	1977	WOS:000168678400004	
THE NATURAL-HISTORY OF CROP YIELD	18402324	AMERICAN SCIENTIST	EVANS, LT	yes	1980	WOS:000168678400004	
NONE	18402502	INT PIGEONPEA NEWSLE	SAXENA KB	no	1985	WOS:000168678400004	
NONE	338871576	THESIS CSJM U KANPUR	MISHRA S	no	2004	WOS:000297491600011	
Evaluation of pigeonpea (Cajanus cajan) germplasm for resistance to Fusarium wilt	87844330	Indian J. Agri. Sci.	Okiror, M. A.	no	2002	WOS:000297491600011	
NONE	426111011	SCIENCES	AHLAWAT IPS	no	2005	WOS:000297491600011	
Impact of a new source of resistance to fusarium wilt in pigeonpea	64162298	JOURNAL OF PHYTOPATHOLOGY	Gwata, ET	yes	2006	WOS:000297491600011	
Pigeon pea lines resistant to wilt in Kenya and Malawi	59778025	Int. Pigeon pea Newsl	Reddy, M. V.	no	1990	WOS:000297491600011	
NONE	426111051	LEGUME RES	PRASANTHI L	no	2009	WOS:000297491600011	
NONE	338871610	FOOD SCI J	MISHRA S	no	2003	WOS:000297491600011	
tarai regions of Uttaranchal. 	344731374	Indian Journal of Pulses Research	Singh, V. K.	yes	2002	WOS:000207874000018	
NONE	413408280	INT PIGEONPEA NEWSLE	TRIPATHI HP	no	1986	WOS:000207874000018	
NONE	413408243	AICRP PIGEONPEA ANN	REDDY MM	no	2006	WOS:000207874000018	
NONE	413408222	AICRP PIGEONPEA ANN	MAJUMDAR ND	no	2006	WOS:000207874000018	
RESPONSE OF PIGEONPEA (CAJANUS-CAJAN) TO ROW SPACING, NITROGEN AND PHOSPHORUS	111086621	INDIAN JOURNAL OF AGRONOMY	SARVAIYA, BG	yes	1993	WOS:000207874000018	
NONE	338871480	NETW PROJ WILT CROPS	*IIPR	no	2008	WOS:000283279200012	
NONE	338871576	THESIS CSJM U KANPUR	MISHRA S	no	2004	WOS:000283279200012	
INFLUENCE OF WILT AT DIFFERENT GROWTH-STAGES ON YIELD LOSS IN PIGEONPEA	45568168	TROPICAL PEST MANAGEMENT	KANNAIYAN, J	yes	1981	WOS:000283279200012	
NONE	338871496	PARIN STORM M PULS P	DHAR V	no	1999	WOS:000283279200012	
NONE	338871610	FOOD SCI J	MISHRA S	no	2003	WOS:000283279200012	
NONE	338871656	NONE	Reddy, MV	no	1996	WOS:000283279200012	
NONE	338871465	ANN GROUP M AICRP PI	*AICRP	no	2009	WOS:000283279200012	
NONE	18994663	Statistical Procedures for Agricultural Research	GOMEZ, ICA	no	1984	WOS:000265883700014	
NONE	323308474	THESIS U AGR MAKURDI	EGBE OM	no	2005	WOS:000265883700014	
NONE	261785787	ABIA STATE U ENV REV	EGBE OM	no	2006	WOS:000265883700014	
Development of a mini core subset for enhanced and diversified utilization of pigeonpea germplasm resources	68815693	CROP SCIENCE	Upadhyaya, Hari D.	yes	2006	WOS:000265883700014	
NONE	323308488	79 ICRISAT	REMANANDAN P	no	1993	WOS:000265883700014	
NONE	261785779	J SUSTAINABLE DEV AG	EGBE OM	no	2006	WOS:000265883700014	
NONE	261785925	ICRISAT PIGEON PEA G	REMANANDAN P	no	1988	WOS:000265883700014	
NONE	261785871	STAT METHOD DETECTIN	OBI IU	no	1990	WOS:000265883700014	
Pigeonpea: morphology.	10853465	The pigeonpea.	Reddy, L. J.	yes	1990	WOS:000265883700014	
International adaptation of pigeonpeas.	48366043	Proceedings of the international workshop on pigeonpeas, Volume 1	Sharma, D.	yes	1981	WOS:000265883700014	
Pigeonpea: physiology of yield formation.	22275505	The pigeonpea.	Lawn, R. J.	yes	1990	WOS:000265883700014	
Origin, distribution, taxonomy, and morphology	115577260	Pulse crops	Baldev, B	no	1988	WOS:000265883700014	
NONE	323308458	GENSTAT REL 4 23	*GENSTAT	no	1000	WOS:000265883700014	
NONE	291483631	Statistical methods for agricultural workers	Panse, V. G.	no	1967	WOS:000300149300008	
Problems perceived by safed moosli (Chlorophytum borivilianum) growers of Chhattisgarh (India) region: A study	86672976	Journal of Medicinal and Aromatic Plant Sciences	Oudhia, P.	yes	2000	WOS:000300149300008	
MAIZE (ZEA MAYS)-BASED INTERCROPPING SYSTEMS WITH PULSES UNDER RAIN-FED CONDITION	15366092	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	ABBAS, M	yes	1995	WOS:000300149300008	
Safed musli (Chlorophytum borivilianum): Distribution, biodiversity and cultivation.	84618820	Journal of Medicinal and Aromatic Plant Sciences	Singh, Aparbal	yes	2003	WOS:000300149300008	
Chlorophytum borivilianum). 	86008838	Journal of Medicinal and Aromatic Plant Sciences	Aparbal Singh	yes	2004	WOS:000300149300008	
